sample	n_variant	muti_allelic	snp	ins	del	indel	cnv	cnv_ins	cnv_del	cnv_ins_pass	cnv_del_pass	sv	sv_ins	sv_del	sv_dup	sv_bnd
AABBCC670	4769606	4.74	3925610	407701	397395	16591	234	145	925	82	152	10576	5171	4361	40	1004
AABBCC671	4797500	4.92	3949259	410371	398980	16787	161	168	842	98	63	10842	5258	4475	51	1058
AABBCC672	4796901	5.00	3935096	419174	402548	17444	242	151	1310	80	162	11412	5748	4471	58	1135
AABBCC673	4852970	5.11	3979969	434959	419157	18497	386	129	2063	72	314	11348	5656	4556	47	1089
AABBCC674	4798172	5.29	3935353	421880	400550	17903	206	228	919	94	112	10360	5101	3995	48	1216
AABBCC675	4776917	4.46	3944914	400628	394976	15197	158	149	785	85	73	9536	4412	4160	40	924
AABBCC676	4758879	4.75	3929713	401074	391519	14981	192	159	826	81	111	9539	4477	4047	52	963
AABBCC677	4850573	5.38	3975450	438822	416874	18882	169	152	619	88	81	10255	5002	4115	55	1083
AABBCC678	4766689	4.75	3924976	406234	396543	16094	253	147	933	81	172	10077	4771	4258	44	1004
